iter	Passed	Remaining
192	317	1328
193	318	1324
194	319	1320
195	320	1316
196	321	1311
197	322	1307
198	323	1302
199	324	1298
200	325	1293
201	326	1289
202	327	1285
203	328	1280
204	329	1276
205	330	1272
206	331	1268
207	332	1264
208	332	1260
209	333	1256
210	335	1253
211	336	1249
212	336	1244
213	337	1240
214	338	1237
215	339	1233
216	340	1229
217	341	1224
218	342	1220
219	343	1216
220	344	1212
221	344	1209
222	346	1205
223	346	1202
224	347	1198
225	349	1195
226	350	1191
227	350	1188
228	351	1184
229	352	1180
230	353	1176
231	354	1173
232	355	1169
233	356	1165
234	356	1161
235	357	1158
236	358	1154
237	359	1151
238	360	1147
239	361	1144
240	362	1140
241	363	1139
242	364	1135
243	365	1131
244	366	1128
245	367	1125
246	368	1122
247	369	1119
248	370	1116
249	370	1112
250	371	1108
251	372	1105
252	373	1102
253	374	1100
254	375	1097
255	376	1095
256	377	1092
257	378	1089
258	379	1086
259	380	1084
260	381	1081
261	382	1078
262	383	1075
263	384	1073
264	385	1069
265	386	1066
266	387	1063
267	388	1060
268	389	1058
269	390	1056
270	391	1053
271	392	1051
272	393	1048
273	394	1045
274	395	1042
275	396	1039
276	397	1036
277	398	1033
278	399	1031
279	399	1028
280	400	1025
281	401	1022
282	402	1019
283	403	1017
284	404	1015
285	406	1013
286	407	1011
287	408	1008
288	408	1006
289	409	1003
290	410	1000
291	411	997
292	412	995
293	413	992
294	414	990
295	415	987
296	415	984
297	416	981
298	418	980
299	419	978
300	420	976
301	421	973
302	422	970
303	423	968
304	423	965
305	424	962
306	425	960
307	426	957
308	427	954
309	427	952
310	428	949
311	429	946
312	430	944
313	431	941
314	432	940
315	433	938
316	434	936
317	435	933
318	436	931
319	437	929
320	438	927
321	439	925
322	440	922
323	440	919
324	441	917
325	442	914
326	443	912
327	444	909
328	445	907
329	445	905
330	446	903
331	447	900
332	448	898
333	449	896
334	450	894
335	451	891
336	452	889
337	452	886
338	453	884
339	454	881
340	455	879
341	455	877
342	456	875
343	457	872
344	458	870
345	459	868
346	460	866
347	461	864
348	462	862
349	463	859
350	463	857
351	464	855
352	465	853
353	466	851
354	467	848
355	467	846
356	468	844
357	469	842
358	470	840
359	471	837
360	472	835
361	473	833
362	473	831
363	474	829
364	475	827
365	476	825
366	477	824
367	478	821
368	479	819
369	480	817
370	481	816
371	482	814
372	483	812
373	483	810
374	484	807
375	485	805
376	486	803
377	487	801
378	487	799
379	488	797
380	489	795
381	490	793
382	491	792
383	492	790
384	493	788
385	494	786
386	495	785
387	496	783
388	497	781
389	498	779
390	499	777
391	499	775
392	500	773
393	501	771
394	502	769
395	503	767
396	503	765
397	504	763
398	505	761
399	506	760
400	508	758
401	508	757
402	509	755
403	511	753
404	511	752
405	512	750
406	514	749
407	515	747
408	516	745
409	517	744
410	518	742
411	518	740
412	520	739
413	521	738
414	522	736
415	523	734
416	524	733
417	525	731
418	526	730
419	527	728
420	528	726
421	529	725
422	530	723
423	531	721
424	532	719
425	533	718
426	534	716
427	535	715
428	536	713
429	537	711
430	538	710
431	539	709
432	540	707
433	541	705
434	542	704
435	543	702
436	543	700
437	545	700
438	546	698
439	547	696
440	548	695
441	549	693
442	550	691
443	551	690
444	552	689
445	553	687
446	554	685
447	555	684
448	556	683
449	557	681
450	558	679
451	559	678
452	560	676
453	561	674
454	561	673
455	562	671
456	563	670
457	564	668
458	565	667
459	566	665
460	567	663
461	568	662
462	569	660
463	570	659
464	571	657
465	572	656
466	573	654
467	574	652
468	575	651
469	575	649
470	576	647
471	577	646
472	585	651
473	585	649
474	586	648
475	587	646
476	588	644
477	589	643
478	589	641
479	590	639
480	591	638
481	592	636
